Kd_Prov,Provinsi,Anggaran Belanja Modal,Realisasi Belanja Modal
11,Aceh,7004.65,6641.72
12,Sumatera Utara,9303.59,9649.53
13,Sumatera Barat,4353.56,3772.88
14,Riau,4745.21,5365.28
15,Jambi,3190.4,3515.71
16,Sumatera Selatan,6813.75,8484.74
17,Bengkulu,1620.76,1378.77
18,Lampung,4873.2,4283.66
19,Kepulauan Bangka Belitung,1187.12,1340.51
21,Kepulauan Riau,2300.17,2097.19
31,DKI Jakarta,12923.9,8411.77
32,Jawa Barat,13832.34,14875.09
33,Jawa Tengah,11978.3,13231.2
34,D.I. Yogyakarta,1850.3,2068.54
35,Jawa Timur,17858.94,18515.95
36,Banten,6298.75,6275.6
51,Bali,3134.95,3258.17
52,Nusa Tenggara Barat,3866.47,3900.67
53,Nusa Tenggara Timur,6113.27,4553.19
61,Kalimantan Barat,4150.99,4406.98
62,Kalimantan Tengah,4420.2,3793.81
63,Kalimantan Selatan,4172.07,3731.1
64,Kalimantan Timur,6117.73,7356.45
65,Kalimantan Utara,1404.1,1466.54
71,Sulawesi Utara,2981.14,5671.83
72,Sulawesi Tengah,2926.17,3013.76
73,Sulawesi Selatan,9006.44,7052.01
74,Sulawesi Tenggara,6079.86,5466.03
75,Gorontalo,1457.74,1497.23
76,Sulawesi Barat,1370.26,1499.95
81,Maluku,2946.81,2407.15
82,Maluku Utara,4176.28,3488.23
91,Papua Barat,5765.59,5289.1
94,Papua,9930.5,9522.86
